date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:45:17	67048/67048	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-105e8%22	https://getbootstrap.com/docs/4.3/getting-started/theming/	getbootstrap.com/docs/4.3/getting-started/theming/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:17	27318/27318	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-6ab6%22	https://getbootstrap.com/docs/4.3/getting-started/build-tools/	getbootstrap.com/docs/4.3/getting-started/build-tools/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:18	25033/25033	---M--	200	added ('OK')	image/png	etag:%225d89e14d-61c9%22	https://getbootstrap.com/docs/4.3/assets/img/examples/pricing.png	getbootstrap.com/docs/4.3/assets/img/examples/pricing.png	(from https://getbootstrap.com/docs/4.3/examples/)
16:45:19	25353/25353	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-6309%22	https://getbootstrap.com/docs/4.3/layout/utilities-for-layout/	getbootstrap.com/docs/4.3/layout/utilities-for-layout/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:19	42246/42246	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-a506%22	https://getbootstrap.com/docs/4.3/content/reboot/	getbootstrap.com/docs/4.3/content/reboot/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:19	96525/96525	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-1790d%22	https://getbootstrap.com/docs/4.3/layout/grid/	getbootstrap.com/docs/4.3/layout/grid/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:19	49923/49923	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-c303%22	https://getbootstrap.com/docs/4.3/content/typography/	getbootstrap.com/docs/4.3/content/typography/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:20	25151/25151	---M--	200	added ('OK')	image/png	etag:%225d89e14d-623f%22	https://getbootstrap.com/docs/4.3/assets/img/examples/checkout.png	getbootstrap.com/docs/4.3/assets/img/examples/checkout.png	(from https://getbootstrap.com/docs/4.3/examples/)
16:45:21	26036/26036	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-65b4%22	https://getbootstrap.com/docs/4.3/content/code/	getbootstrap.com/docs/4.3/content/code/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:21	30193/30193	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-75f1%22	https://getbootstrap.com/docs/4.3/content/images/	getbootstrap.com/docs/4.3/content/images/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:21	93752/93752	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-16e38%22	https://getbootstrap.com/docs/4.3/content/tables/	getbootstrap.com/docs/4.3/content/tables/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:21	25454/25454	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-636e%22	https://getbootstrap.com/docs/4.3/content/figures/	getbootstrap.com/docs/4.3/content/figures/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:22	24977/24977	---M--	200	added ('OK')	image/png	etag:%225d89e14d-6191%22	https://getbootstrap.com/docs/4.3/assets/img/examples/product.png	getbootstrap.com/docs/4.3/assets/img/examples/product.png	(from https://getbootstrap.com/docs/4.3/examples/)
16:45:23	28047/28047	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-6d8f%22	https://getbootstrap.com/docs/4.3/components/breadcrumb/	getbootstrap.com/docs/4.3/components/breadcrumb/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:23	34545/34545	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-86f1%22	https://getbootstrap.com/docs/4.3/components/badge/	getbootstrap.com/docs/4.3/components/badge/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:23	47087/47087	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-b7ef%22	https://getbootstrap.com/docs/4.3/components/buttons/	getbootstrap.com/docs/4.3/components/buttons/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:23	40458/40458	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-9e0a%22	https://getbootstrap.com/docs/4.3/components/alerts/	getbootstrap.com/docs/4.3/components/alerts/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:24	7240/7240	---M--	200	added ('OK')	image/png	etag:%225d89e14d-1c48%22	https://getbootstrap.com/docs/4.3/assets/img/examples/cover.png	getbootstrap.com/docs/4.3/assets/img/examples/cover.png	(from https://getbootstrap.com/docs/4.3/examples/)
16:45:25	52864/52864	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-ce80%22	https://getbootstrap.com/docs/4.3/components/collapse/	getbootstrap.com/docs/4.3/components/collapse/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:25	143909/143909	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-23225%22	https://getbootstrap.com/docs/4.3/components/card/	getbootstrap.com/docs/4.3/components/card/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:25	70512/70512	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-11370%22	https://getbootstrap.com/docs/4.3/components/carousel/	getbootstrap.com/docs/4.3/components/carousel/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:25	45315/45315	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-b103%22	https://getbootstrap.com/docs/4.3/components/button-group/	getbootstrap.com/docs/4.3/components/button-group/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:26	21450/21450	---M--	200	added ('OK')	image/png	etag:%225d89e14d-53ca%22	https://getbootstrap.com/docs/4.3/assets/img/examples/carousel.png	getbootstrap.com/docs/4.3/assets/img/examples/carousel.png	(from https://getbootstrap.com/docs/4.3/examples/)
16:45:27	106970/106970	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-1a1da%22	https://getbootstrap.com/docs/4.3/components/dropdowns/	getbootstrap.com/docs/4.3/components/dropdowns/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:27	25266/25266	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-62b2%22	https://getbootstrap.com/docs/4.3/components/jumbotron/	getbootstrap.com/docs/4.3/components/jumbotron/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:27	219596/219596	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-359cc%22	https://getbootstrap.com/docs/4.3/components/forms/	getbootstrap.com/docs/4.3/components/forms/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:27	80681/80681	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-13b29%22	https://getbootstrap.com/docs/4.3/components/input-group/	getbootstrap.com/docs/4.3/components/input-group/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:28	32843/32843	---M--	200	added ('OK')	image/png	etag:%225d89e14d-804b%22	https://getbootstrap.com/docs/4.3/assets/img/examples/blog.png	getbootstrap.com/docs/4.3/assets/img/examples/blog.png	(from https://getbootstrap.com/docs/4.3/examples/)
16:45:29	95422/95422	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-174be%22	https://getbootstrap.com/docs/4.3/components/modal/	getbootstrap.com/docs/4.3/components/modal/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:29	82215/82215	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-14127%22	https://getbootstrap.com/docs/4.3/components/list-group/	getbootstrap.com/docs/4.3/components/list-group/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:29	45849/45849	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-b319%22	https://getbootstrap.com/docs/4.3/components/media-object/	getbootstrap.com/docs/4.3/components/media-object/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:29	115996/115996	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-1c51c%22	https://getbootstrap.com/docs/4.3/components/navs/	getbootstrap.com/docs/4.3/components/navs/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:30	24376/24376	---M--	200	added ('OK')	image/png	etag:%225d89e14d-5f38%22	https://getbootstrap.com/docs/4.3/assets/img/examples/dashboard.png	getbootstrap.com/docs/4.3/assets/img/examples/dashboard.png	(from https://getbootstrap.com/docs/4.3/examples/)
16:45:31	47477/47477	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-b975%22	https://getbootstrap.com/docs/4.3/components/pagination/	getbootstrap.com/docs/4.3/components/pagination/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:31	50615/50615	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-c5b7%22	https://getbootstrap.com/docs/4.3/components/popovers/	getbootstrap.com/docs/4.3/components/popovers/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:31	96058/96058	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-1773a%22	https://getbootstrap.com/docs/4.3/components/navbar/	getbootstrap.com/docs/4.3/components/navbar/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:31	44176/44176	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-ac90%22	https://getbootstrap.com/docs/4.3/components/progress/	getbootstrap.com/docs/4.3/components/progress/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:32	5704/5704	---M--	200	added ('OK')	image/png	etag:%225d89e14d-1648%22	https://getbootstrap.com/docs/4.3/assets/img/examples/sign-in.png	getbootstrap.com/docs/4.3/assets/img/examples/sign-in.png	(from https://getbootstrap.com/docs/4.3/examples/)
16:45:33	46290/46290	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-b4d2%22	https://getbootstrap.com/docs/4.3/components/spinners/	getbootstrap.com/docs/4.3/components/spinners/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:33	55258/55258	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-d7da%22	https://getbootstrap.com/docs/4.3/components/scrollspy/	getbootstrap.com/docs/4.3/components/scrollspy/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:33	60006/60006	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-ea66%22	https://getbootstrap.com/docs/4.3/components/toasts/	getbootstrap.com/docs/4.3/components/toasts/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:33	51411/51411	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-c8d3%22	https://getbootstrap.com/docs/4.3/components/tooltips/	getbootstrap.com/docs/4.3/components/tooltips/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:34	8170/8170	---M--	200	added ('OK')	image/png	etag:%225d89e14d-1fea%22	https://getbootstrap.com/docs/4.3/assets/img/examples/sticky-footer.png	getbootstrap.com/docs/4.3/assets/img/examples/sticky-footer.png	(from https://getbootstrap.com/docs/4.3/examples/)
16:45:35	24729/24729	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-6099%22	https://getbootstrap.com/docs/4.3/utilities/clearfix/	getbootstrap.com/docs/4.3/utilities/clearfix/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:35	33876/33876	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-8454%22	https://getbootstrap.com/docs/4.3/utilities/borders/	getbootstrap.com/docs/4.3/utilities/borders/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:35	22828/22828	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-592c%22	https://getbootstrap.com/docs/4.3/utilities/close-icon/	getbootstrap.com/docs/4.3/utilities/close-icon/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:35	33947/33947	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-849b%22	https://getbootstrap.com/docs/4.3/utilities/colors/	getbootstrap.com/docs/4.3/utilities/colors/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
